emp_no,first_name,last_name,title,from_date,to_date
80263,Gilbert,Etalle,Senior Engineer,4/25/1987,1/1/9999
80270,Fen,Jonsson,Senior Staff,3/7/1998,1/1/9999
80272,Vasilis,Socorro,Senior Engineer,10/30/1998,1/1/9999
80273,Yongdong,Varman,Staff,1/8/1997,1/1/9999
80279,Berhard,Carrera,Senior Engineer,6/23/1997,1/1/9999
80280,Trygve,Doering,Senior Staff,9/16/1994,1/1/9999
80286,Martial,Lubachevsky,Senior Staff,5/19/1997,1/1/9999
80288,Teiji,Rousseau,Senior Engineer,3/19/1994,1/1/9999
80294,Siamak,Boudaillier,Senior Staff,4/13/1989,1/1/9999
80295,Mack,Neimat,Engineer,9/25/1999,1/1/9999
80307,Paraskevi,Casley,Engineer,7/21/1999,1/1/9999
80318,Angus,Schneeberger,Senior Engineer,1/26/1996,1/1/9999
80322,Xumin,Rossi,Staff,7/3/1996,1/1/9999
80325,Bingning,Gruenwald,Senior Staff,1/3/2001,1/1/9999
80326,Caolyn,Rosca,Staff,4/7/1999,1/1/9999
80328,Satyanarayana,Basart,Senior Engineer,11/16/1996,1/1/9999
80332,Behnaam,Masand,Senior Staff,8/16/2001,1/1/9999
80338,Marsha,Oskamp,Senior Staff,1/7/1999,1/1/9999
80341,Premal,Luef,Senior Staff,2/15/1998,1/1/9999
80346,Conal,Parveen,Senior Staff,8/24/1993,1/1/9999
80352,Arunachalam,Melton,Senior Staff,11/14/1995,1/1/9999
80358,Mong,Huhdanpaa,Senior Engineer,8/3/1999,1/1/9999
80370,Honesty,Weiland,Senior Engineer,11/12/1991,1/1/9999
80372,Aleksandar,Khasidashvili,Staff,6/7/1999,1/1/9999
80374,Junichi,Rusterholz,Senior Engineer,11/3/1990,1/1/9999
80375,Atreye,Peac,Senior Engineer,5/6/1991,1/1/9999
80376,Maha,Hofman,Staff,4/29/1997,1/1/9999
80380,Neven,Selvestrel,Staff,12/2/1999,1/1/9999
80386,Rosine,Peot,Engineer,11/10/1998,1/1/9999
80389,Pasqua,Rosiles,Engineer,6/12/1998,1/1/9999
80392,Utpal,Frezza,Senior Engineer,10/27/1997,1/1/9999
80395,Oscal,Bondorf,Staff,12/15/1997,1/1/9999
80409,Ebbe,Lanzelotte,Senior Staff,9/17/1993,1/1/9999
80410,Toong,Weiland,Staff,3/1/1998,1/1/9999
80414,Heejo,Radhakrishnan,Senior Engineer,9/10/2000,1/1/9999
80419,Satyanarayana,Erde,Senior Staff,7/8/1998,1/1/9999
80422,Luerbio,Pollock,Senior Staff,6/14/1995,1/1/9999
80425,Oksana,Roison,Senior Staff,12/29/1997,1/1/9999
80429,Prodip,Suermann,Senior Staff,3/2/1986,1/1/9999
80437,Irena,Peroz,Senior Staff,11/18/1998,1/1/9999
80439,Jolita,Calkin,Senior Engineer,4/4/1994,1/1/9999
80445,Tremaine,Schaaf,Senior Engineer,2/17/1998,1/1/9999
80451,Raimond,Undy,Senior Engineer,11/12/1993,1/1/9999
80455,Guther,Murrill,Senior Engineer,9/6/1996,1/1/9999
80456,Aemilian,Gire,Senior Engineer,4/17/1998,1/1/9999
80462,Duri,Kriebel,Senior Engineer,10/9/1999,1/1/9999
80466,Takahiro,Bala,Staff,2/17/1996,1/1/9999
80467,Zhongwei,Bail,Staff,12/4/1994,1/1/9999
80477,Kwee,Cesareni,Senior Engineer,10/16/1997,1/1/9999
80478,Goh,Whittlesey,Senior Engineer,12/27/1997,1/1/9999
80479,Sanjay,Kragelund,Senior Staff,1/24/2002,1/1/9999
80489,Mani,Billawala,Senior Engineer,9/9/1985,1/1/9999
80492,Subhada,Ranta,Senior Engineer,10/11/1997,1/1/9999
80498,Arve,Pokrovskii,Senior Staff,9/27/1996,1/1/9999
80509,Jovan,Detkin,Senior Engineer,2/6/2002,1/1/9999
80512,Heping,Erez,Engineer,4/4/1998,1/1/9999
80520,Lijie,Crelier,Senior Engineer,5/20/1986,1/1/9999
80522,Sedat,Sadowsky,Senior Staff,8/25/1998,1/1/9999
80528,Spyrose,Pews,Staff,3/16/1998,1/1/9999
80540,Valdiodio,Lanzelotte,Senior Engineer,12/3/1999,1/1/9999
80546,Fuqing,Matzel,Senior Staff,9/2/1994,1/1/9999
80550,Candida,Cullers,Senior Engineer,6/26/1991,1/1/9999
80551,Mabry,Delgrossi,Senior Staff,8/8/1995,1/1/9999
80561,Visit,Solovay,Senior Engineer,6/30/1993,1/1/9999
80564,Guoxiang,Meriste,Assistant Engineer,6/19/1996,1/1/9999
80570,Martial,Zykh,Senior Engineer,7/28/1996,1/1/9999
80572,Sariel,Kitai,Senior Engineer,9/15/1998,1/1/9999
80578,Chuanti,Binkley,Senior Engineer,8/6/1997,1/1/9999
80589,Chenxi,Bain,Senior Engineer,5/30/1996,1/1/9999
80597,Sadok,VanScheik,Senior Staff,4/12/2000,1/1/9999
80600,Yongdong,Werthner,Senior Engineer,6/30/1992,1/1/9999
80610,Dmitry,Wuwongse,Engineer,1/23/1998,1/1/9999
80611,Pramod,Sifakis,Senior Engineer,4/19/1997,1/1/9999
80617,Prodip,Kugler,Senior Engineer,11/5/1994,1/1/9999
80620,Filipe,Gischer,Senior Staff,12/2/1998,1/1/9999
80628,Felicidad,Benaini,Senior Staff,8/14/2000,1/1/9999
80630,Mani,Kamble,Senior Engineer,4/23/1996,1/1/9999
80637,Eishiro,Larfeldt,Senior Staff,8/1/1985,1/1/9999
80639,Uma,Mahnke,Senior Engineer,7/20/1993,1/1/9999
80651,Shooichi,Plessier,Engineer,11/10/1997,1/1/9999
80653,Chiranjit,Kavanagh,Senior Engineer,6/3/1988,1/1/9999
80661,Adas,Gruenwald,Technique Leader,5/7/1992,1/1/9999
80663,Yunming,Morrin,Senior Engineer,12/26/1997,1/1/9999
80665,Angel,Angot,Senior Staff,6/6/1993,1/1/9999
80673,Duke,Gustavson,Senior Staff,1/20/1998,1/1/9999
80675,Renee,Ertl,Engineer,7/7/1999,1/1/9999
80681,Gina,DasSarma,Senior Engineer,1/15/1993,1/1/9999
80683,Miyeon,Sethi,Senior Engineer,12/14/1994,1/1/9999
80684,Takanari,VanScheik,Senior Staff,1/21/1994,1/1/9999
80687,Pradeep,Calkin,Senior Engineer,5/20/1999,1/1/9999
80689,Hitofumi,Conta,Senior Engineer,8/15/1995,1/1/9999
80702,Percy,Simmel,Senior Engineer,11/29/1990,1/1/9999
80703,Randy,Nitsche,Staff,3/5/1996,1/1/9999
80705,Josyula,Shackel,Technique Leader,10/7/1986,1/1/9999
80717,Valdiodio,Frijda,Senior Staff,1/6/1993,1/1/9999
80721,Katsuyuki,Delgrossi,Senior Staff,3/4/1995,1/1/9999
80722,Yechiam,Bage,Senior Staff,4/8/1991,1/1/9999
80724,Yongdong,Casperson,Senior Staff,5/1/1987,1/1/9999
80729,Lansing,Brandsma,Engineer,12/17/1999,1/1/9999
80740,Shuzo,Kermarrec,Senior Engineer,5/20/1993,1/1/9999
80744,Badri,Bauknecht,Staff,3/25/1998,1/1/9999
80746,Keiichiro,Jahnichen,Senior Engineer,7/2/1997,1/1/9999
80751,Zhensheng,Swan,Senior Engineer,9/12/1991,1/1/9999
80758,Heejo,Rathonyi,Senior Engineer,1/23/2002,1/1/9999
80761,Aiichiro,Mandelberg,Senior Staff,8/25/2000,1/1/9999
80762,Adit,Verhoeff,Senior Engineer,7/27/1996,1/1/9999
80768,Shounak,Janocha,Technique Leader,6/11/1989,1/1/9999
80774,Vishv,Pollacia,Senior Engineer,12/21/2001,1/1/9999
80777,Xinglin,Belinskaya,Senior Staff,5/19/2000,1/1/9999
80779,Aamod,Andreotta,Senior Staff,5/6/1995,1/1/9999
80781,Xudong,Danner,Senior Engineer,7/25/1998,1/1/9999
80782,Danco,Gerteisen,Senior Staff,7/19/1995,1/1/9999
80783,Akeel,Huxford,Senior Staff,6/30/1989,1/1/9999
80786,Denis,Sridhar,Senior Engineer,7/24/1998,1/1/9999
80790,Stepehn,Unno,Senior Engineer,1/22/1998,1/1/9999
80791,Takahiro,Molenkamp,Senior Engineer,2/28/1994,1/1/9999
80797,Katsuo,Kohling,Senior Engineer,11/17/1996,1/1/9999
80801,Bluma,Ambroszkiewicz,Senior Staff,3/9/2002,1/1/9999
80805,Mabo,Lorin,Senior Engineer,4/10/1996,1/1/9999
80810,Khalid,Merkl,Senior Staff,7/6/1999,1/1/9999
80833,Jaihie,Demri,Senior Engineer,7/13/1985,1/1/9999
80834,Sham,Reinhart,Senior Engineer,10/28/1993,1/1/9999
80835,Jolita,Delgrossi,Senior Engineer,6/11/1997,1/1/9999
80837,Nigel,Tempesti,Senior Staff,7/19/1998,1/1/9999
80838,Cheong,Ruemmler,Senior Staff,8/28/1988,1/1/9999
80842,Jasminko,Peroz,Senior Engineer,1/25/2001,1/1/9999
80843,Utpal,Rubsam,Senior Engineer,8/22/1998,1/1/9999
80844,Brigham,Hellwagner,Technique Leader,1/29/1986,1/1/9999
80846,Bader,Lodder,Senior Engineer,5/16/2002,1/1/9999
80851,Sastry,Escriba,Senior Engineer,9/30/1995,1/1/9999
80852,Yannis,Randt,Technique Leader,10/30/1988,1/1/9999
80853,Claude,Bashian,Senior Staff,5/9/1996,1/1/9999
80856,Moss,Kaiserswerth,Senior Staff,12/5/2000,1/1/9999
80859,Ottavia,Krychniak,Senior Engineer,10/5/1995,1/1/9999
80860,Kayoko,Smeets,Engineer,4/23/1999,1/1/9999
80862,Serenella,Improta,Senior Staff,6/11/1996,1/1/9999
80866,Billur,Menhardt,Engineer,11/30/1998,1/1/9999
80869,Ishfaq,Randi,Senior Engineer,7/8/1998,1/1/9999
80873,Marsal,Nishimukai,Senior Staff,8/26/1994,1/1/9999
80875,Yishai,Kandlur,Staff,5/10/1996,1/1/9999
80882,Sumant,Hopewell,Senior Staff,4/4/1996,1/1/9999
80892,Kaijung,Nourani,Engineer,8/26/1995,1/1/9999
80894,Kousuke,Georgakopoulos,Senior Engineer,7/3/1986,1/1/9999
80896,Paloma,Hardjono,Senior Staff,5/16/1985,1/1/9999
80897,Hitomi,Nooteboom,Senior Engineer,10/11/1998,1/1/9999
80903,Yakichi,Dulin,Senior Engineer,4/18/1997,1/1/9999
80908,Kyoichi,Erie,Senior Engineer,8/12/1990,1/1/9999
80910,Oguz,Terekhov,Staff,9/25/1995,1/1/9999
80914,Rosalyn,Denny,Senior Staff,8/2/1992,1/1/9999
80917,Jungsoon,Besselaar,Senior Engineer,2/13/1990,1/1/9999
80920,Vatsa,Brender,Staff,4/30/1995,1/1/9999
80922,Aram,Kuzuoka,Senior Engineer,5/27/2001,1/1/9999
80923,Yaghout,Kavanagh,Senior Staff,1/17/2001,1/1/9999
80929,Nevio,Kading,Senior Staff,12/4/1996,1/1/9999
80933,Anoosh,Dredge,Engineer,9/9/1996,1/1/9999
80935,Terresa,Birke,Senior Engineer,3/10/1993,1/1/9999
80937,Chikako,Jiang,Senior Staff,8/9/1985,1/1/9999
80940,Kazuhiko,Smeets,Senior Engineer,10/1/1997,1/1/9999
80945,Rayond,Ruemmler,Senior Engineer,5/18/2000,1/1/9999
80947,Jaewon,Peha,Technique Leader,9/7/1991,1/1/9999
80955,Marc,Fioravanti,Senior Staff,11/12/1988,1/1/9999
80962,Ute,Broder,Senior Staff,8/17/1995,1/1/9999
80971,Mountaz,Rijckaert,Senior Engineer,7/21/1992,1/1/9999
80977,Mana,Danner,Senior Engineer,12/18/1994,1/1/9999
80979,Stein,Rodier,Senior Staff,1/7/1994,1/1/9999
80980,Hyuncheol,Stentiford,Senior Staff,8/23/1991,1/1/9999
80981,Fumitake,Niizuma,Assistant Engineer,11/18/1993,1/1/9999
80984,Arunas,Emmart,Senior Staff,3/16/2001,1/1/9999
80987,Zito,Gulla,Senior Engineer,1/4/2000,1/1/9999
80991,Marco,Schreiter,Senior Staff,8/29/1995,1/1/9999
80998,Leandro,Lampe,Senior Engineer,5/1/2001,1/1/9999
81000,Neelam,Thisen,Senior Engineer,10/23/2001,1/1/9999
81001,Toshimori,Krider,Senior Staff,12/5/1995,1/1/9999
81005,Xiahua,Rubsam,Senior Engineer,12/5/1999,1/1/9999
81007,Mototsugu,Rande,Staff,3/6/1996,1/1/9999
81008,Bartek,Heydon,Assistant Engineer,11/9/1996,1/1/9999
81009,Shichao,Ozeki,Senior Engineer,3/5/2001,1/1/9999
81011,Tommaso,Onuegbe,Senior Staff,6/14/1996,1/1/9999
81015,Marke,Breugel,Senior Engineer,12/9/1992,1/1/9999
81018,Angus,Haldar,Senior Engineer,6/8/2002,1/1/9999
81035,Hsiangchu,Boreale,Senior Staff,10/3/1993,1/1/9999
81036,Alassane,Fargier,Technique Leader,12/20/1986,1/1/9999
81038,Xiaoheng,Claffy,Senior Engineer,6/20/2001,1/1/9999
81043,Prasadram,Passafiume,Staff,8/4/1999,1/1/9999
81047,Masaki,Dulay,Senior Engineer,7/15/1993,1/1/9999
81050,Moti,Sridhar,Senior Engineer,6/21/1999,1/1/9999
81052,Ziya,Levergood,Staff,5/27/1997,1/1/9999
81053,Fei,Quaggetto,Senior Staff,5/22/1999,1/1/9999
81063,Vitali,Narahari,Staff,8/19/1995,1/1/9999
81066,Fumitake,Srimani,Senior Engineer,3/15/1999,1/1/9999
81068,Uno,Ecklund,Senior Engineer,10/22/1998,1/1/9999
81070,Mariangiola,Rosaz,Senior Engineer,11/30/1987,1/1/9999
81073,Poornachandra,Blokdijk,Senior Staff,2/19/2001,1/1/9999
81079,Nahla,Mellouli,Senior Staff,7/7/2002,1/1/9999
81092,Poorav,Strehl,Staff,11/12/1997,1/1/9999
81093,Shiv,Bail,Engineer,4/9/1997,1/1/9999
81095,Zhaofang,Meszaros,Staff,5/14/1996,1/1/9999
81096,Charmane,Wissmann,Senior Staff,5/3/1999,1/1/9999
81101,Khoa,Engberts,Senior Engineer,7/30/1999,1/1/9999
81108,Kwangyoen,Cronan,Senior Staff,9/20/2000,1/1/9999
81109,Fatemeh,Bonifati,Senior Engineer,5/22/1997,1/1/9999
81110,Kiam,Oxman,Senior Staff,6/7/1997,1/1/9999
81111,Munehiro,Jansch,Senior Staff,2/20/1995,1/1/9999
81121,Valdiodio,Heyers,Senior Staff,5/21/1992,1/1/9999
81123,Troy,Sooriamurthi,Engineer,1/2/1998,1/1/9999
81125,Rosli,Antonisse,Staff,7/11/1995,1/1/9999
81130,Kyoichi,Jervis,Senior Staff,1/17/1989,1/1/9999
81136,Gift,Ruemmler,Staff,10/14/1998,1/1/9999
81140,Temple,Gomatam,Engineer,4/23/1999,1/1/9999
81142,Heon,Zastre,Senior Staff,9/27/1998,1/1/9999
81143,DAIDA,Vural,Senior Staff,9/10/1999,1/1/9999
81149,Tianruo,Georg,Engineer,9/29/1994,1/1/9999
81152,Macha,Junet,Senior Engineer,5/30/1994,1/1/9999
81154,Denis,Schmiedel,Technique Leader,8/4/1991,1/1/9999
81158,Filipp,Percebois,Senior Engineer,9/22/1987,1/1/9999
81166,Tayeb,Przulj,Senior Staff,12/10/1993,1/1/9999
81167,Yurij,Francisci,Senior Staff,4/10/1991,1/1/9999
81171,Annemarie,Luke,Senior Engineer,1/9/1996,1/1/9999
81174,Fatemeh,Zirintsis,Staff,11/8/1995,1/1/9999
81177,Bodh,Berendt,Assistant Engineer,10/2/1998,1/1/9999
81185,Takushi,Kossowski,Senior Engineer,3/13/1993,1/1/9999
81186,Marla,Improta,Staff,6/16/1995,1/1/9999
81189,Serge,Broomell,Senior Staff,4/13/1991,1/1/9999
81198,Martijn,Stanfel,Technique Leader,10/27/1989,1/1/9999
81199,Abdelghani,Lamma,Senior Staff,11/12/1997,1/1/9999
81201,Werner,Knightly,Senior Staff,7/11/1993,1/1/9999
81202,Niteen,Ciolek,Engineer,8/8/1998,1/1/9999
81207,Barry,Hofstetter,Senior Engineer,7/2/1991,1/1/9999
81208,Sumant,Rindone,Senior Engineer,11/24/1987,1/1/9999
81209,Jahangir,Rahier,Senior Engineer,4/18/1997,1/1/9999
81212,Elvia,Lunn,Senior Engineer,11/16/1999,1/1/9999
81213,Wilmer,Cherinka,Staff,1/16/2000,1/1/9999
81215,Barna,Zyda,Engineer,9/8/1993,1/1/9999
81217,Ult,Ibel,Senior Engineer,8/9/1998,1/1/9999
81218,Nectarios,Impagliazzo,Senior Engineer,12/26/1997,1/1/9999
81228,Xianlong,Segond,Technique Leader,12/3/1997,1/1/9999
81233,Renee,Rande,Engineer,4/1/1999,1/1/9999
81237,Djelloul,Blokdijk,Staff,12/18/1997,1/1/9999
81244,Aloys,Validov,Senior Engineer,5/22/1996,1/1/9999
81245,Matk,Krzyzanowski,Engineer,1/17/1996,1/1/9999
81248,Masako,Sudbeck,Senior Staff,9/29/1999,1/1/9999
81257,Kazuhide,Raney,Staff,1/18/2000,1/1/9999
81260,Harngdar,Granlund,Senior Staff,12/21/1999,1/1/9999
81264,Dannz,Erdmenger,Senior Staff,9/19/1993,1/1/9999
81268,Nathalie,Doering,Senior Staff,10/15/2001,1/1/9999
81271,Kendra,Bade,Senior Staff,12/3/1995,1/1/9999
81279,Kristinn,Ouhyoung,Engineer,12/13/1999,1/1/9999
81283,Maria,Herber,Senior Staff,7/29/2002,1/1/9999
81285,Hairong,England,Staff,10/19/1997,1/1/9999
81286,Richara,Fontet,Senior Staff,3/10/1997,1/1/9999
81288,Guadalupe,Sidou,Engineer,3/16/1998,1/1/9999
81292,Ortrun,Copas,Senior Engineer,11/8/1986,1/1/9999
81296,Susanta,Benzaken,Engineer,7/1/1994,1/1/9999
81299,Visit,Ghemri,Senior Staff,5/31/1997,1/1/9999
81301,Chanjung,Schlumberger,Engineer,9/4/1996,1/1/9999
81303,Ghassan,Berstel,Senior Staff,4/10/1994,1/1/9999
81304,Visit,Dalphin,Senior Staff,1/15/2000,1/1/9999
81324,Marl,Rossi,Engineer,7/5/1996,1/1/9999
81325,Mona,Rajaraman,Senior Staff,4/4/1997,1/1/9999
81329,Divine,Gire,Senior Engineer,7/22/1986,1/1/9999
81335,Eben,Porenta,Engineer,7/18/1994,1/1/9999
81338,Xiaoqiang,Erol,Senior Staff,7/28/2001,1/1/9999
81340,Baocai,Poehlman,Senior Staff,9/23/1992,1/1/9999
81344,Leif,Hiraishi,Engineer,8/14/1999,1/1/9999
81349,Kerryn,Hennings,Staff,1/5/1997,1/1/9999
81352,Odysseas,Narwekar,Engineer,6/21/1997,1/1/9999
81357,Jeanna,Keirsey,Senior Staff,2/21/2001,1/1/9999
81358,Premal,Quadeer,Senior Staff,5/23/1993,1/1/9999
81368,Frederique,Ghemri,Senior Engineer,8/27/2000,1/1/9999
81374,Kinh,Shobatake,Senior Engineer,6/11/2002,1/1/9999
81376,Gunilla,Fabrizio,Senior Engineer,5/17/1997,1/1/9999
81380,Sajjad,Hiroyama,Staff,1/24/2000,1/1/9999
81395,Tran,Maliniak,Senior Engineer,9/26/1996,1/1/9999
81398,Hyuncheol,Gulak,Technique Leader,12/23/1987,1/1/9999
81401,Monique,Kaltofen,Senior Staff,3/18/2000,1/1/9999
81407,Hsiangchu,Rosin,Senior Staff,3/15/1994,1/1/9999
81408,Atreye,Picaronny,Senior Staff,1/25/1996,1/1/9999
81411,Eben,Stenning,Senior Engineer,8/11/1996,1/1/9999
81412,Zhenhua,Menyhert,Senior Staff,2/13/1994,1/1/9999
81413,Jinxi,Bouloucos,Senior Staff,11/24/1997,1/1/9999
81422,Yuichiro,Pleszkun,Senior Engineer,6/25/2001,1/1/9999
81425,Chrisa,Simmel,Senior Engineer,9/13/1997,1/1/9999
81430,Jackson,Milicia,Senior Staff,1/10/2000,1/1/9999
81432,Hideyuki,Veldwijk,Senior Engineer,7/12/1996,1/1/9999
81436,Itzchak,Mitzlaff,Staff,10/7/1993,1/1/9999
81438,Mack,McClure,Senior Engineer,6/17/1994,1/1/9999
81439,Giri,Lorys,Staff,8/21/1997,1/1/9999
81440,Fumitake,Melski,Senior Engineer,3/9/1993,1/1/9999
81444,Byong,Denos,Senior Staff,5/18/2001,1/1/9999
81447,Moni,Renear,Engineer,2/23/1997,1/1/9999
81449,Arve,Halloran,Senior Staff,1/10/1993,1/1/9999
81459,Serenella,Reeker,Senior Engineer,6/16/1995,1/1/9999
81460,Christfried,Angelopoulos,Senior Engineer,9/28/1992,1/1/9999
81462,Thodoros,Brizzi,Senior Engineer,2/8/1998,1/1/9999
81466,Zejun,Krone,Senior Engineer,11/7/2001,1/1/9999
81468,Aiman,Bodoff,Senior Engineer,5/16/1995,1/1/9999
81474,Mori,Cools,Staff,12/27/1999,1/1/9999
81479,Girolamo,Vuskovic,Senior Engineer,7/29/2000,1/1/9999
81485,Taizo,Terkki,Engineer,3/18/1995,1/1/9999
81487,Piyush,Vandervoorde,Senior Engineer,8/1/1995,1/1/9999
81494,Hatsukazu,Litzkow,Technique Leader,11/21/1986,1/1/9999
81503,Kolar,Rabejac,Senior Engineer,10/23/1993,1/1/9999
81508,Bokyung,Janocha,Senior Staff,12/17/1993,1/1/9999
81509,Munehiko,Trachtenberg,Senior Engineer,9/4/1996,1/1/9999
81510,Mamdouh,Penttonen,Senior Staff,4/8/1994,1/1/9999
81517,Xiong,Reutenauer,Senior Staff,1/27/1995,1/1/9999
81527,Arnd,Bouloucos,Senior Staff,7/9/1991,1/1/9999
81528,Mikhail,Miara,Senior Engineer,1/12/1990,1/1/9999
81529,Kien,Koblick,Senior Engineer,2/1/2001,1/1/9999
81537,Beshir,Pezzoli,Senior Staff,7/7/1995,1/1/9999
81543,Jianhui,Ishibashi,Senior Staff,11/21/1996,1/1/9999
81549,Takahira,Leslie,Senior Engineer,11/4/1994,1/1/9999
81553,Adin,Fortenbacher,Senior Staff,4/23/1995,1/1/9999
81556,Teunis,Nilsson,Senior Engineer,4/19/2002,1/1/9999
81561,Masadi,Verhaegen,Senior Staff,12/30/2000,1/1/9999
81564,Martijn,Michaels,Senior Engineer,10/28/2001,1/1/9999
81568,Jianhui,Uhrig,Engineer,5/22/1998,1/1/9999
81572,Ingemar,DiGiano,Senior Engineer,7/7/1994,1/1/9999
81580,Behnaam,Nannarelli,Engineer,7/20/1998,1/1/9999
81587,Mani,Pluym,Senior Engineer,2/7/1996,1/1/9999
81589,Bernd,Wilfing,Senior Engineer,6/3/1997,1/1/9999
81591,Gian,Karunanithi,Senior Engineer,2/1/2000,1/1/9999
81592,Monique,Rehfuss,Senior Staff,9/30/1985,1/1/9999
81594,Saddek,Spinelli,Technique Leader,3/30/1991,1/1/9999
81597,Xuejia,Miculan,Senior Engineer,7/26/2000,1/1/9999
81599,Oldrich,Emmerich,Senior Staff,6/8/1997,1/1/9999
81603,Suzette,Zuberek,Senior Staff,2/3/1997,1/1/9999
81612,Fei,Raoux,Engineer,11/8/1998,1/1/9999
81623,Honesty,Thimonier,Engineer,5/29/1998,1/1/9999
81624,Mandell,Ratnaker,Engineer,11/13/1999,1/1/9999
81625,Irene,Koshino,Staff,4/25/1996,1/1/9999
81633,Urs,Raczkowsky,Senior Staff,8/28/1998,1/1/9999
81645,Jasminko,Reinhart,Senior Engineer,9/27/1992,1/1/9999
81648,Jungsoon,Doering,Senior Engineer,2/19/1994,1/1/9999
81649,Xuedong,Krohn,Senior Staff,4/17/1992,1/1/9999
81653,Adit,Brobst,Senior Engineer,4/19/2001,1/1/9999
81656,Turgut,Valette,Engineer,1/11/2001,1/1/9999
81658,Rosine,Pearson,Senior Engineer,4/19/1992,1/1/9999
81659,Naftaly,Pramanik,Staff,11/14/1999,1/1/9999
81660,Arno,Schaap,Senior Staff,1/29/1986,1/1/9999
81661,Vojin,Honglei,Engineer,11/30/1996,1/1/9999
81668,Goa,Gronowski,Senior Staff,6/9/2002,1/1/9999
81672,Kazuhito,Aloia,Engineer,9/25/1998,1/1/9999
81676,Sham,Wrigley,Senior Staff,8/11/1999,1/1/9999
81678,Valter,Iisaku,Technique Leader,6/8/1997,1/1/9999
81679,Kenton,Pluym,Engineer,1/1/1996,1/1/9999
81684,Gad,Stafford,Staff,7/12/1998,1/1/9999
81688,Steen,Kroon,Senior Staff,2/25/1999,1/1/9999
81689,Yoshinari,Worfolk,Senior Engineer,1/16/1994,1/1/9999
81696,Mitchel,Bednarek,Engineer,3/24/2002,1/1/9999
81706,Maya,Schwartzbauer,Senior Staff,4/16/1990,1/1/9999
81708,Byong,Kakkar,Senior Engineer,7/18/1997,1/1/9999
81709,Ziva,Budinsky,Senior Staff,1/4/1996,1/1/9999
81710,Girolamo,Hennings,Senior Staff,5/31/1996,1/1/9999
81712,Arlette,Braunschweig,Staff,6/23/1996,1/1/9999
81714,Nadjib,Gimbel,Staff,6/5/1998,1/1/9999
81717,Toney,Anguita,Senior Staff,10/16/1995,1/1/9999
81730,Sergi,DuBourdieux,Senior Staff,12/16/2000,1/1/9999
81731,Gro,Chachaty,Staff,1/21/1999,1/1/9999
81734,Ipke,Lalonde,Senior Engineer,3/9/1998,1/1/9999
81735,Kwok,Koprowski,Senior Engineer,4/13/1996,1/1/9999
81740,Otilia,Erva,Engineer,9/28/1999,1/1/9999
81741,Alenka,Harnett,Senior Engineer,7/8/2002,1/1/9999
81746,Vincent,Spell,Engineer,4/2/1994,1/1/9999
81747,Vitali,Tanemo,Staff,2/14/1996,1/1/9999
81751,Ulises,Salinas,Staff,1/1/1997,1/1/9999
81755,Peer,Beeson,Senior Staff,2/26/2002,1/1/9999
81763,Youpyo,Dayang,Engineer,12/25/1999,1/1/9999
81767,Augustine,Matzov,Senior Staff,10/17/1994,1/1/9999
81773,Nalini,Castellani,Senior Staff,11/11/1998,1/1/9999
81779,Phillip,Tokunaga,Senior Staff,10/5/1994,1/1/9999
81785,Patricia,Rando,Senior Staff,1/24/1992,1/1/9999
81786,Xuedong,Erdmenger,Senior Engineer,9/17/2001,1/1/9999
81790,Constantino,Lanphier,Senior Engineer,2/23/1996,1/1/9999
81793,Bingning,Zolotykh,Technique Leader,12/3/1991,1/1/9999
81796,Jeong,Swab,Senior Staff,10/20/1991,1/1/9999
81805,Gianluca,Bail,Senior Engineer,10/28/2001,1/1/9999
81806,Janalee,Matzke,Engineer,11/30/1995,1/1/9999
81808,Lakshmi,Cesareni,Senior Engineer,2/12/1995,1/1/9999
81810,Baruch,Schaap,Technique Leader,4/12/1985,1/1/9999
81815,Chaitali,Kuhnemann,Senior Engineer,6/29/1999,1/1/9999
81816,Guadalupe,Kranzdorf,Senior Staff,9/21/1998,1/1/9999
81817,Demos,Aloia,Senior Engineer,6/12/1994,1/1/9999
81818,Deborah,Bridgland,Engineer,1/3/1998,1/1/9999
81820,Syozo,Merle,Technique Leader,7/5/1999,1/1/9999
81823,Divier,Junet,Senior Engineer,6/13/2001,1/1/9999
81825,Xiaoheng,Androutsos,Senior Staff,8/27/2001,1/1/9999
81836,Rayond,Stiles,Technique Leader,1/16/1999,1/1/9999
81838,Ute,Alpay,Senior Engineer,6/13/1997,1/1/9999
81839,Leah,Curless,Senior Engineer,4/30/2001,1/1/9999
81847,Ymte,Figueira,Senior Engineer,8/4/1985,1/1/9999
81849,Debatosh,Bednarek,Senior Staff,8/24/1998,1/1/9999
81851,Dante,Heystek,Senior Engineer,12/25/1993,1/1/9999
81856,Masamitsu,Maierhofer,Senior Staff,5/1/1997,1/1/9999
81861,Tesuro,Walstra,Senior Engineer,11/15/1994,1/1/9999
81865,Kiyotoshi,Pileggi,Engineer,6/3/1995,1/1/9999
81871,Mikhail,Pelz,Senior Staff,10/23/1997,1/1/9999
81872,Shin,Pashtan,Engineer,6/14/1998,1/1/9999
81876,Chenye,Shackell,Senior Staff,10/29/1994,1/1/9999
81877,Fei,Pappas,Engineer,1/27/1996,1/1/9999
81891,Gill,Usery,Staff,12/28/1997,1/1/9999
81896,Kwan,Bashian,Senior Engineer,11/10/1996,1/1/9999
81900,Mario,Bernatsky,Senior Engineer,8/14/1995,1/1/9999
